"Right of Public Access (Courts)","Derived from 1st Amendment. Ensures public/press access to criminal trials (*Richmond Newspapers*)."
"Risk Categories (4 Types)","Legal, Reputational, Operational, and Investment risk."
"Privacy Assessment (Definition)","A comprehensive, holistic review of an organization's entire privacy risk profile."
"Privacy Impact Assessment (PIA)","Analysis of discrete products/services to ensure compliance and mitigate risks. Conducted *before* implementation."
"Privacy Threshold Analysis (PTA)","Also called 'initial privacy assessment'. A preliminary investigation to determine if a full PIA is required."
"PIA Legal Triggers (Federal)","E-Government Act of 2002 requires PIAs for federal agencies implementing programs collecting PI."
"Solove's Taxonomy of Privacy","Privacy Harms model based on four activities: Collection, Processing, Dissemination, and Invasions."
"Privacy Operational Life Cycle (4 Stages)","Assess, Protect, Sustain, Respond."
"Privacy Notice vs. Privacy Policy","**Policy:** Internal governance document.<br>**Notice:** External facing statement to consumers."
"Layered Notice","Short summary of key practices up front with links to a full detailed notice."
"Just-in-Time Notice","Focused info/consent prompts at the moment data is collected (e.g., in-app location popup)."
"Material Retroactive Changes","FTC expects express affirmative consent before applying material changes to previously collected data."
"FERPA Scope (Funding)","Applies to ANY educational agency/institution receiving funds from the Dept. of Education (Public K-12 + Most Higher Ed)."
"FERPA Preemption","Does NOT preempt stricter state laws."
"FERPA 'Student' Definition","Any individual who is/has been 'in attendance'. Explicitly EXCLUDES applicants denied admission."
"FERPA 'Education Record' Definition","Record directly related to a student and 'maintained' by the agency."
"Exceptions to 'Education Record' (5 Types)","1. Sole Possession (Teacher's private notes).<br>2. Law Enforcement Unit records.<br>3. Employment records.<br>4. Medical records (for students 18+).<br>5. Alumni records."
"Peer-Graded Papers (Owasso v. Falvo)","Are NOT education records until the teacher collects and records the grade."
"FERPA Access Right","Schools must provide access to records within **45 days**."
"FERPA Correction Process","Request Amendment -> Hearing (if denied) -> Written Explanation (if hearing denied)."
"Directory Information (Opt-Out)","Info not generally harmful (Name, dates of attendance). School must provide notice & opportunity to opt-out. SSNs are NEVER directory info."
"FERPA Consent Exceptions","Directory Info, School Officials (legitimate interest), Health/Safety Emergency."
"FERPA vs. HIPAA","School nurse records are **Education Records** (FERPA), NOT PHI (HIPAA)."
"FERPA Private Right of Action","None. (*Gonzaga Univ v. Doe*). Remedy is withholding federal funds."
"PPRA Scope","Elementary and Secondary schools receiving federal funds. (Does NOT apply to Higher Ed)."
"PPRA Protected Info (8 Categories)","Includes Political affiliation, Mental problems, Sex behavior, Illegal behavior, Family appraisals, Privileged relationships, Religion, Income."
"PPRA Survey Consent (Dept. Ed Funded)","Requires **Prior Written Consent (Opt-In)**."
"PPRA Survey Consent (Other Federally Funded)","Requires **Notice + Opt-Out**."
"Instructional Materials (PPRA)","Parents have the right to **inspect** all instructional material."
"EdTech 'School Official' Exception","Vendor can receive data w/o consent if: Performs school service, under direct control of school, uses data ONLY for authorized purpose."
"K-12 School Service Provider Pledge","Voluntary code (enforceable as UDAP) prohibiting selling student data or using it for behavioral targeting."
"Employee Monitoring Policy (6 Key Components)","1. Purpose.<br>2. Scope.<br>3. Methods.<br>4. Records.<br>5. Use.<br>6. Disclosure."
"City of Ontario v. Quon (2010)","Supreme Court ruled a search of a police pager was reasonable (work-related purpose). Rejected 'least intrusive means' test for workplace searches."
"BYOD / COIT Privacy","Employees using personal devices have a **higher expectation of privacy** than on company-owned equipment."
"ECPA 'Business Purpose' Exception","Employers can monitor calls/emails if there is a legitimate business reason, but must stop if content is personal."
"ECPA Consent (Federal vs. State)","Federal: One-party consent.<br>Some states: All-party consent."
"Delaware Monitoring Notice","Requires both **prior written notice** AND **daily electronic notice** (e.g., login banner)."
"Connecticut Monitoring Notice","Requires **prior written notice** of monitoring types."
"Postal Mail Monitoring","Business can generally open ALL mail delivered to office, even if marked 'Private'."
"Misconduct Investigation (Fairness)","Must be evenhanded. Employers liable if investigator fails to conduct an effective investigation (EEOC 'Reasonable Care')."
"Misconduct Investigation Reports (FACTA Exclusion)","NOT consumer reports if: 1. Related to misconduct/compliance. 2. No credit info. 3. Limited sharing (implied no prior consent needed)."
"FMLA Confidentiality","DOL requires FMLA health info be kept in a **separate file** from the general personnel file."
"Workers' Compensation Confidentiality","Insurers/Agencies not HIPAA entities, but HIPAA allows providers to disclose PHI to them w/o authorization to comply with laws."
"Termination Procedures","1. Revoke access.<br>2. Request data deletion from personal devices.<br>3. Remind of confidentiality obligations."
"FACTA Disposal Rule (Employers)","Must take 'reasonable measures' to destroy background checks/credit reports in former employee files."
"Kansas 'Service Letter' Law","Must provide letter stating length of employment, job classification, and pay rate upon request."
"Defamation Risk (References)","Liability for false/damaging statements. Many employers use a **'Neutral Reference' Policy** (dates/title only)."
"Automated Employment Decision Tools (AEDT) - Regional Laws","**NYC:** Bias audits + 10-day notice.<br>**IL:** Notice/explanation + demographic reporting.<br>**MD:** Facial recognition waiver."
"ADA & AI (3 Violations)","1. Failure to Accommodate (if tool requires ability candidate lacks).<br>2. Screening Out (unintentional filtering).<br>3. Illegal Medical Inquiries."
"iTutorGroup (2022) Case","EEOC settlement ($365k) for hiring software that automatically rejected older applicants (ADEA violation)."
"National Child Protection Act (1993)","Allows state officials access to FBI (NCIC) database to screen employees working with children/elderly."
"FCRA Certification Rule","Employer must certify to CRA: 1. Notification/Permission obtained. 2. Will comply with Adverse Action duties. 3. Non-discrimination."
"FCRA Pre-Adverse Action","Employer must provide a **copy of the report** and a **written summary of rights** BEFORE taking adverse action."
"Investigative Consumer Report (FCRA)","Requires specific notice if interviewing neighbors/associates about character."
"Ban the Box / Fair Chance Act (2019)","Prohibits federal agencies/contractors from requesting criminal background info **prior to a conditional job offer**."
"Employee Polygraph Protection Act (EPPA) - Exemptions","1. Government.<br>2. Defense Contractors.<br>3. Security Services.<br>4. Pharma Manufacturers (Controlled Substances)."
"EPPA 'Ongoing Investigation' Exception","Private employers CAN use polygraph if: Specific economic loss (theft), employee had access, reasonable suspicion, and signed statement."
"Drug-Free Workplace Act","Encourages but does NOT generally mandate drug testing (except for specific sectors like transportation/DOT)."
"Social Media Password Laws","Growing trend of states prohibiting employers from requesting usernames/passwords for private accounts."
"FTC Governance","Governed by a Chairperson and four additional Commissioners."
"FTC Section 5 Authority","Prohibits 'unfair or deceptive acts or practices in or affecting commerce.'"
"FTC Rulemaking Process","Section 18 ("Magnuson-Moss Act"). More rigorous than standard APA rulemaking. Requires a finding that practices are prevalent."
"Deceptive Trade Practices (3-Part Test)","1. Material representation/omission.<br>2. Likely to mislead a reasonable consumer.<br>3. To the consumer's detriment."
"Unfair Trade Practices (3-Part Test)","1. Causes substantial injury.<br>2. Not reasonably avoidable by consumers.<br>3. Not outweighed by countervailing benefits to consumers or competition."
"FTC Jurisdiction Exclusions","Non-profits, most banks/financial institutions, and common carriers."
"FTC Private Right of Action","None. Only the government can sue under the FTC Act."
"FTC Enforcement Lifecycle (Review)","ALJ Hearing -> Appeal to 5 FTC Commissioners -> Appeal to Federal Circuit Court of Appeal."
"FTC Civil Penalties","Up to $53,088 per violation (as of July 2025). The FTC must generally seek these in federal court."
"AMG Capital v. FTC (Impact)","Supreme Court ruled Section 13(b) cannot be used for equitable monetary relief (like restitution/disgorgement). FTC now relies on Section 19 or new rules."
"Algorithmic Disgorgement","Remedy requiring companies to delete algorithms/models developed using improperly obtained data (e.g., Everalbum)."
"LabMD v. FTC (2018)","11th Circuit ruling. Held that FTC orders must be specific. 'Reasonable security' is too vague; concrete directives are required."
"FTC v. Wyndham (2015)","3rd Circuit ruling. Affirmed FTC authority to regulate cybersecurity as an 'unfair' practice under Section 5."
"Consent Decree (Features)","Settlement agreement (force of court order), publicly posted, usually no admission of guilt, requires compliance reporting (often 20 years)."
"Everalbum (2021)","First major use of algorithmic disgorgement."
"Uber (2017 - Security Case)","Failed to use MFA and stored unencrypted geolocation data in the cloud."
"Lenovo (2017 - Security Case)","Pre-installed 'man-in-the-middle' adware (Superfish) bypassing browser encryption."
"Equifax (2019 - Security Case)","Massive breach (147M records) due to failure to patch known vulnerabilities and segment servers."
"VTech (2018 - Security Case)","First child privacy case against an IoT device maker."
"Dark Patterns (4 Elements)","1. False Beliefs.<br>2. Hidden Disclosures.<br>3. Unauthorized Charges.<br>4. Obscured Choices."
"FTC Unfair Methods of Competition (Test)","1. Conduct must be a method of competition.<br>2. Conduct must be unfair (coercive, exclusionary, etc.)."
"COPPA (Scope)","Applies to online services intended for, or knowingly collecting data from, children under 13."
"COPPA (2025 Update)","Personal Information now explicitly includes **government-issued identifiers** and **biometric identifiers**."
"COPPA Internal Procedures (2025)","Requires annual security assessments and designating an **oversight employee**."
"Verifiable Parental Consent (VPC) - 7 Methods","1. Signed form (fax/scan).<br>2. Credit/Debit card transaction.<br>3. Toll-free support call.<br>4. Video conference.<br>5. KBA (Knowledge-Based Auth).<br>6. Gov ID verification (check & delete).<br>7. Facial Recognition (live match)."
"COPPA Safe Harbor","Programs allowing companies to demonstrate compliance via self-regulation (e.g., kidSAFE, ESRB, TrustArc)."
"California Minors 'Eraser' Law","Right for minors (<18) to remove info they posted online."
"Delaware DOPPA (Teens)","Restricts marketing adult products (alcohol, firearms) to children; offers removal rights similar to CA."
"New York Child Data Protection Act (2025)","Prohibits processing personal data of those aged 13–18 without informed consent."
"CCPA Opt-In (Minors)","**13-16:** Opt-In required for sale/share.<br>**Under 13:** Parental consent required (COPPA standard)."
"Fair Credit Reporting Act (FCRA)","1970 law regulating Consumer Reporting Agencies (CRAs), Users, and Furnishers of credit data."
"FCRA 'Consumer Report' Definition","Communication by a CRA bearing on creditworthiness, character, or reputation, used for a permissible purpose."
"Investigative Consumer Report","Consumer report based on personal interviews (neighbors/friends). User must notify consumer within 3 days."
"FCRA Obsolescence Rules","Negative info: 7 years.<br>Bankruptcies: 10 years.<br>Exceptions: High-value transactions (Credit >$150k, Job >$75k)."
"FACTA 'Vail Letter' Overturn","Clarified that employer misconduct investigations are NOT consumer reports (no prior notice required)."
"FACTA Disposal Rule","Requires 'reasonable measures' to destroy consumer information (burn, shred, erase) to prevent unauthorized access."
"Red Flags Rule","Requires financial institutions/creditors to have a written Identity Theft Prevention Program (Identify, Detect, Prevent, Update)."
"GLBA Privacy Rule (Notice)","**Initial Notice:** At relationship start.<br>**Annual Notice:** Yearly (unless no sharing & no changes).<br>**Opt-Out:** Required for sharing NPI with non-affiliated third parties."
"GLBA Safeguards Rule (Qualified Individual)","Must designate a **single** individual to oversee the security program."
"GLBA Safeguards Rule (Testing)","Requires either continuous monitoring OR annual penetration testing + bi-annual vulnerability assessments."
"GLBA Safeguards Rule (Encryption)","Mandatory for NPI at rest and in transit."
"GeoCities (1999)","First FTC privacy enforcement action (Deceptive). Resold PI after promising not to."
"Eli Lilly & Co. (2002)","First FTC action mandating a comprehensive information privacy/security program. Triggered by accidental email leak of 600 users."
"DesignerWare","Rent-to-own company secretly installed spyware (Detective Mode) on computers to capture keystrokes/images. Deemed **Unfair** (intrusive monitoring)."
"LifeLock (Security)","Failed to implement strong security despite advertising claims. Violated prior consent decree -> $100M fine."
"Facebook (Deceptive)","Deceptive claims about user privacy control (allowing dev access despite 'friends only' settings). Violated prior decree -> $5B fine."
"TRUSTe","Deceptive certification. Failed to conduct required annual recertifications of clients while displaying Trust Mark."
"FTC v. Wyndham (2015)","3rd Circuit affirmed FTC Section 5 authority to regulate cybersecurity as 'Unfair'. Established 'fair notice'."
"LabMD v. FTC (2018)","11th Circuit vacated FTC order for being too vague. 'Reasonable security' is unenforceable; orders need concrete directives."
"Uber (2017)","Failed to use Multi-Factor Authentication (MFA) and stored unencrypted geolocation data in cloud."
"Lenovo (2017)","Pre-installed 'man-in-the-middle' adware (Superfish) that compromised browser encryption."
"PayPal / Venmo (2018)","Falsely claimed 'bank-grade security' without a written security program. Deceptive."
"VTech Electronics (2018)","First child privacy case against an IoT maker. Failed to encrypt data/implement intrusion detection."
"Equifax (2019)","Massive breach ($575M settlement). Failed to patch known vulnerabilities and segment servers."
"Tapplock (2020)","Smart lock maker falsely claimed to be 'unbreakable'. API vulnerabilities allowed bypass."
"SkyMed (2020)","Exposed health data in unsecured cloud; displayed fake 'HIPAA Compliance' seal."
"Ascension Data & Analytics (2020)","Violated GLBA Safeguards Rule by failing to oversee a vendor (Vendor Oversight)."
"Everalbum (2021)","First application of **Algorithmic Disgorgement**. Required deletion of facial recognition models trained on improperly obtained data."
"GLBA Scope ('Finders')","Revised Safeguards Rule expanded 'financial institution' to include 'Finders' (companies connecting consumers to lenders)."
"GLBA Consumer vs. Customer","**Consumer:** One-off transaction (Notice only if sharing).<br>**Customer:** Ongoing relationship (Full Initial + Annual Notices)."
"GLBA Opt-Out Right","Consumers can Opt-Out of sharing NPI with **non-affiliated third parties**."
"GLBA Exceptions (No Opt-Out)","1. Joint Marketing (own products).<br>2. Service Providers.<br>3. Legal Compliance/Fraud Prevention."
"GLBA Pretexting Provisions","Illegal to obtain customer info by false pretenses (social engineering). Criminal penalties."
"CFPB (Authority)","Created by Dodd-Frank. Regulates consumer financial products. Supervises banks >$10B assets."
"CFPB UDAAP Standard","Unfair, Deceptive, or **Abusive** Acts and Practices."
"CFPB 'Abusive' Definition","Materially interferes with understanding terms OR takes unreasonable advantage of consumer's lack of understanding/reliance."
"CFPB Civil Investigative Demand (CID)","Powerful subpoena power allowing CFPB to demand documents/testimony BEFORE commencing legal proceedings."
"California Financial Information Privacy Act (CalFIPA)","Stricter than GLBA. Requires **Opt-In** for non-affiliated sharing and **Opt-Out** for affiliate sharing (unless preempted by FCRA)."
"Right to Financial Privacy Act (RFPA)","Prohibits federal government access to bank records without warrant/subpoena + **notice** to customer."
"Bank Secrecy Act (SARs)","Must file Suspicious Activity Report (SAR) for transactions >$5k suggesting money laundering. **Strictly confidential** (cannot tell customer)."
"USA PATRIOT Act (KYC)","Requires Customer Identification Program (CIP). Must verify identity (Name, DoB, Address, SSN) for new accounts."
"Dodd-Frank Section 1033 (Open Banking)","Grants consumers right to access financial data in machine-readable format. Mandates shift from screen scraping to APIs."
"NYDFS Cybersecurity Regulation (Greenlist)","List of pre-approved cryptocurrencies that entities can use without separate approval."
"Post-Dobbs Legal Uncertainty","The Supreme Court's Dobbs decision narrowed the federal constitutional basis for reproductive health privacy, shifting protections to state laws."
"HIPAA (Primary Focus)","Regulates the privacy and security of Protected Health Information (PHI) held by Covered Entities and Business Associates."
"GINA (Genetic Information Nondiscrimination Act)","Prohibits health insurers and employers from discriminating based on genetic info. Genetic info is considered PHI under HIPAA."
"21st Century Cures Act","Prohibits 'information blocking' (penalties up to $1M). Requires developers to publish APIs for patient data access 'without special effort'."
"42 C.F.R. Part 2 (Scope)","Confidentiality for Substance Use Disorder (SUD) patient records. Generally prohibits redisclosure without consent."
"Regulatory Gap (Health Data)","HIPAA only applies to Covered Entities. Health data from fitness trackers, social media, or non-covered apps is often not federally protected."
"FTC Health Breach Notification Rule (HBNR) Scope","Applies to non-HIPAA covered entities, specifically PHR vendors and third-party service providers."
"HBNR 'Media Rule'","Must notify media if a breach affects more than 500 residents of a single state/jurisdiction."
"HBNR Notification Timeline","Without unreasonable delay and no later than 60 days after discovery."
"GoodRx Enforcement Action (2023)","First HBNR enforcement case. Resulted from GoodRx unauthorized sharing of health data with advertising platforms."
"FDA Medical Device Definition","Instrument intended for use in the diagnosis or treatment of disease."
"21st Century Cures Act (Device Exclusion)","Excludes 'low risk' software functions (e.g., General Wellness apps) from the 'device' definition."
"General Wellness Exclusion (2 Categories)","1. General Health (e.g., sleep trackers).<br>2. Disease Association (e.g., lifestyle apps reducing chronic disease risk, without specific treatment advice)."
"FDA 'Cyber Device' Requirement","Must submit a post-market plan to monitor and address vulnerabilities."
"Direct-to-Consumer (DTC) Genetic Testing Laws","States like CA, VA, UT have specific laws governing security and consent for DTC genetic testing companies."
"FTC Oversight of MedTech","Section 5 applies to non-HIPAA MedTech companies. Focuses on misleading claims or improper sharing of sensitive health/location data."
"Script Kiddies","Unskilled attackers using pre-built tools for thrill/convenience."
"Hacktivists","Attackers motivated by political/social causes (activist goals)."
"Criminal Syndicates","Organized groups motivated by illegal financial gain."
"Advanced Persistent Threats (APTs)","Nation-state actors/sophisticated groups. Long-term campaigns for espionage/intellectual property theft."
"Insiders","Employees/contractors with authorized access who misuse it."
"Zero-Day Attacks","Exploits unknown to vendors (no patch available)."
"Ransomware","Malware encrypting data for ransom. Newer variants threaten data disclosure (double extortion)."
"Security Event (NIST Definition)","Any observable occurrence in a system/network (e.g., user accessing a file)."
"Adverse Event (NIST Definition)","Any event with negative consequences (e.g., malware infection)."
"Security Incident (NIST Definition)","A violation or imminent threat of violation of security policies."
"Incident Response Plan (4 Phases - NIST)","1. Preparation.<br>2. Detection & Analysis.<br>3. Containment, Eradication, & Recovery.<br>4. Post-Incident Activity."
"Containment Strategy","Active measures to stop the spread of an incident while evidence is gathered."
"Post-Incident Activity (Key Steps)","Lessons-learned review (independent) and evidence/record retention (3 years for federal agencies)."
"FTC Data Breach Response (4 Steps)","1. Secure Operations (Containment).<br>2. Analyze/Fix Vulnerabilities.<br>3. Notify Parties.<br>4. Proactive Steps (Audits)."
"Data Breach Notification (US)","No single federal law (except specific sectors like HIPAA). ALL 50 states have their own notification laws."
"GDPR (Scope)","Applies to ANY organization offering goods/services to or monitoring behavior of people in the EU (Extraterritorial)."
"GDPR (Definition of Personal Data)","Any info identifying a 'natural person' (data subject). Protects anyone physically in the EU, regardless of citizenship."
"GDPR (Rights)","Erasure (Forgotten), Access, Rectification, Portability, Object, No Automated Decision Making."
"GDPR Breach Notification (Controller to DPA)","Must notify DPA within **72 hours** unless unlikely to result in risk."
"GDPR Breach Notification (To Subject)","Required 'without undue delay' only if **High Risk** to rights/freedoms."
"GDPR Penalties","Up to **€20 Million** or **4% of annual global revenue**."
"International Transfer Tools (EU)","Adequacy Decisions, Binding Corporate Rules (BCRs), Standard Contractual Clauses (SCCs), Derogations (Exceptions)."
"Schrems II (2020)","Invalidated Privacy Shield because US surveillance laws (FISA 702) overrode EU protections."
"Transfer Impact Assessment (TIA)","Mandatory step after Schrems II to verify if destination laws undermine safeguards (SCCs/BCRs)."
"EU-US Data Privacy Framework (DPF) - 2023","Current framework. US companies self-certify with Dept of Commerce. Enforced by FTC."
"APEC Privacy Framework","Non-binding framework for Asia-Pacific. Promotes flexible digital trade."
"APEC Cross-Border Privacy Rules (CBPR)","Voluntary certification system (e.g., TrustArc) demonstrating compliance with APEC principles."
"APEC CPEA","Cross-border Privacy Enforcement Arrangement. Framework for regional PE Authorities to share info/investigate."
"reCAPTCHA Compliance Trap","Paradox where tool is needed for security but collecting data before consent violates GDPR (and getting consent requires loading the tool)."
"Information Privacy","The claim of individuals to determine for themselves when, how, and to what extent information about them is communicated to others. Examples: Financial data, medical records."
"Bodily Privacy","The protection of a person's physical being against invasive procedures. Examples: Genetic testing, drug testing, body cavity searches."
"Communication Privacy","The security and privacy of mail, telephones, email, and other forms of communication. Examples: Wiretapping, opening mail."
"Territorial Privacy","Limits on intrusion into domestic and other environments (the 'right to be left alone'). Examples: Home searches, workplace monitoring."
"Identified Individual","Someone who can be ascertained with certainty (e.g., via Social Security Number)."
"Identifiable Individual","Someone who can be indirectly identified through a combination of factors (e.g., combining a city, street address, and gender)."
"Sensitive Personal Information (Restrictions)","Some laws only regulate specific subsets of sensitive data. Examples: HIPAA (health records), FCRA (medical records in credit reports)."
"Privacy-Enhancing Technologies (PETs)","Technologies whose purpose is privacy. Often led by privacy engineers focusing on 'freedom from conditions' that create problems during data processing."
"Strong Identifiers","Data that is identifying without additional context. Examples: SSN, Passport #."
"Weak Identifiers","General data belonging to multiple people, needed in combination for identification. Examples: Height, home address."
"Suppression (Anonymization)","Removing identifying information or values from a data set."
"Generalization (Anonymization)","Reducing granularity by replacing specific info with more general elements (e.g., removing a house number from an address)."
"Differential Privacy","A mathematical framework that introduces 'noise' to provide a guarantee of indistinguishability and 'plausible deniability' for individuals in a dataset."
"Data Subject","The individual whose information is being processed."
"Data Controller","The entity that decides how and why data is processed (has the ultimate authority)."
"Data Processor","The entity that processes data on behalf of the controller. Can only do what the controller authorizes."
"FIPs / FIPPs (Definition)","Fair Information Practices. Principles guiding data collection, storage, and management for fairness, privacy, and security."
"1973 HEW Report","First US articulation of FIPs. Five principles: No secret records, Individual access, Limit secondary use, Correction rights, Data reliability."
"Privacy Act of 1974","Codified FIPs for federal agencies."
"2012 FTC Report (Three Concepts)","1. Privacy by Design2. Simplified Consumer Choice (e.g., Do-Not-Track)3. Transparency"
"OECD Guidelines (1980)","Eight principles: Collection Limitation, Data Quality, Purpose Specification, Use Limitation, Security Safeguards, Openness, Individual Participation, Accountability."
"Accountability Principle","Dictates that organizations must take responsibility for protecting personal information and be able to *demonstrate* that compliance to stakeholders."
"Responsibility for Compliance","The ultimate responsibility lies with the organization (data controller), *not* government regulatory authorities."
